id,created_at,created_phase,created_batch,rating_bundle,completion_code
465,"2015-12-30 19:00:18",3,13,0,Ules6roP
466,"2015-12-30 19:09:36",3,13,0,5tl8I9Ue
467,"2015-12-30 19:13:18",3,13,0,ggTiKQOI
468,"2015-12-30 19:17:23",3,13,0,wT42tT4g
471,"2015-12-30 20:42:38",3,13,0,v3qZE5i2
472,"2015-12-30 20:52:21",3,13,0,pVXtWeRT
474,"2015-12-30 21:38:00",3,13,0,Sexi0qwv
475,"2015-12-30 22:04:27",3,13,0,KspcckjN
476,"2015-12-30 22:48:03",3,13,0,GrYByn9E
478,"2015-12-30 23:34:58",3,14,0,4Mod0JlZ
481,"2015-12-30 23:35:28",3,14,0,QT91PeoT
482,"2015-12-30 23:35:28",3,14,0,wjMxPo7X
484,"2015-12-30 23:35:37",3,14,0,Oj9rcOlI
485,"2015-12-30 23:35:38",3,14,0,Mla7pSNu
487,"2015-12-30 23:36:57",3,14,0,ahsoVxru
488,"2015-12-30 23:36:57",3,14,0,CTD0mjiX
492,"2015-12-30 23:39:52",3,14,0,KBnCaSna
494,"2015-12-30 23:42:10",3,14,0,Swcys8Za
495,"2015-12-30 23:42:30",3,14,0,HPoqJfrl
496,"2015-12-30 23:44:11",3,14,0,KqgvdW0R
498,"2015-12-30 23:45:31",3,14,0,vkEGCaAI
500,"2015-12-30 23:48:14",3,14,0,rZYfjKUz
501,"2015-12-30 23:52:34",3,14,0,5PEbTLof
502,"2015-12-30 23:53:11",3,14,0,dvHruP07
503,"2015-12-30 23:53:28",3,14,0,8i7oGczX
504,"2015-12-30 23:53:55",3,14,0,j4dizRi5
506,"2015-12-31 00:42:06",3,14,0,I4suHXji
509,"2015-12-31 01:07:18",3,14,0,mm8bgBRf
511,"2015-12-31 01:57:05",3,14,0,PRB4jTHl
512,"2015-12-31 02:50:26",3,14,0,iaMxBpXn
513,"2015-12-31 06:08:51",3,14,0,wSUc5uKI
704,"2016-03-03 15:03:58",10,NULL,34,0WPXIQst
705,"2016-03-03 15:03:58",10,NULL,47,F47ienby
706,"2016-03-03 15:04:02",10,NULL,11,xQOmvLRL
707,"2016-03-03 15:04:08",10,NULL,103,1NyS5hOp
708,"2016-03-03 15:04:10",10,NULL,23,Q1Nw3emy
709,"2016-03-03 15:04:12",10,NULL,66,mLTbVNra
710,"2016-03-03 15:04:14",10,NULL,8,TDzTHHf0
711,"2016-03-03 15:04:19",10,NULL,83,38goiKz7
712,"2016-03-03 15:04:23",10,NULL,49,MwiBt6AE
716,"2016-03-03 15:04:35",10,NULL,6,kSVfy0y5
720,"2016-03-03 15:04:46",10,NULL,109,Tl5GFdbk
721,"2016-03-03 15:04:48",10,NULL,62,MOCUcPFb
722,"2016-03-03 15:04:52",10,NULL,77,SUrgPTPb
723,"2016-03-03 15:05:08",10,NULL,100,QfT9Hijl
724,"2016-03-03 15:05:12",10,NULL,89,iML4dMXz
727,"2016-03-03 15:05:32",10,NULL,41,Plh95ria
728,"2016-03-03 15:05:46",10,NULL,45,YnOJCwcK
731,"2016-03-03 15:06:47",10,NULL,1,Qwwunpgo
733,"2016-03-03 15:09:07",10,NULL,91,oN4oXAYM
734,"2016-03-03 15:09:58",10,NULL,108,uNyZjWGu
735,"2016-03-03 15:10:19",10,NULL,54,fUpaadjX
736,"2016-03-03 15:10:20",10,NULL,38,9mMLdWOJ
738,"2016-03-03 15:10:40",10,NULL,63,eUaSAq3S
739,"2016-03-03 15:11:01",10,NULL,89,ndAwjE2r
740,"2016-03-03 15:11:06",10,NULL,97,9pKehtQ5
741,"2016-03-03 15:11:14",10,NULL,50,DXO6TRv9
742,"2016-03-03 15:11:15",10,NULL,30,O5zTcQiR
743,"2016-03-03 15:11:42",10,NULL,89,EEgkkZle
744,"2016-03-03 15:12:39",10,NULL,80,2Iir5pQX
746,"2016-03-03 15:13:00",10,NULL,14,IrsuJVxO
747,"2016-03-03 15:13:27",10,NULL,89,Hp94Y9rx
748,"2016-03-03 15:14:48",10,NULL,106,qP8GWxRK
750,"2016-03-03 15:18:52",10,NULL,58,p6mIK45h
753,"2016-03-03 15:21:48",10,NULL,6,6m6ALHeX
755,"2016-03-03 15:22:57",10,NULL,102,8Wxeixsd
756,"2016-03-03 15:24:22",10,NULL,48,34iE7fDU
757,"2016-03-03 15:24:42",10,NULL,53,bXjtlsdI
759,"2016-03-03 15:26:28",10,NULL,13,TmC0hf0N
760,"2016-03-03 15:27:44",10,NULL,16,AhQEllfw
761,"2016-03-03 15:28:04",10,NULL,51,lXe39EGD
762,"2016-03-03 15:30:26",10,NULL,46,VOLa9jbk
